3,3,3,3,2,2,3,3,3,3,2,2,4,3,4,3,3,3,3
3,0,0,0,2,2,2,4,4,4,4,4,4,3,4,4,4,3,3
3,0,0,0,2,2,2,4,3,3,3,3,3,3,3,3,4,3,3
3,0,8,0,2,2,2,4,3,3,0,0,0,0,0,3,4,3,3
3,0,0,0,0,0,2,4,3,3,0,0,0,0,0,0,4,3,3
0,0,0,0,0,0,2,4,4,3,0,0,0,0,0,0,3,3,0
0,0,0,0,0,0,2,4,4,3,0,0,9,0,0,0,3,3,0
0,0,0,0,0,3,3,4,4,3,0,0,0,0,0,0,3,4,0
0,0,0,0,0,3,3,4,3,0,0,0,0,0,0,0,3,4,0
0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,4,0
4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,4,4,0
4,0,0,0,0,0,7,4,4,6,3,3,0,0,0,3,4,3,0
4,0,0,0,0,0,0,0,4,4,3,3,3,3,3,4,4,3,0
4,4,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,3,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
